Coin,ma,ema,bb,obv,rsi,stoch,trix,macd,sar,ichimoku
maker,{'value': 1434.0133333333338},{'value': 1411.4356387012078},"{'valueUpperBand': 1499.56182857606, 'valueMiddleBand': 1410.9249999999981, 'valueLowerBand': 1322.2881714239363}",{'value': 16106.039689999989},{'value': 28.89820610504332},"{'valueSlowK': 9.162341380967693, 'valueSlowD': 14.78098247057855}",{'value': -0.04583851035554476},"{'valueMACD': -28.49100107834738, 'valueMACDSignal': -17.09424148358385, 'valueMACDHist': -11.39675959476353}",{'value': 1406.4236797272895},"{'conversion': 1374.315, 'base': 1422.46, 'spanA': 1396.8125, 'spanB': 1422.46, 'currentSpanA': 1441.3225, 'currentSpanB': 1430.525, 'laggingSpanA': 1431.9575, 'laggingSpanB': 1499.79}"
dash,{'value': 126.62933333333338},{'value': 124.29161214608335},"{'valueUpperBand': 134.20871338345492, 'valueMiddleBand': 124.28750000000001, 'valueLowerBand': 114.36628661654511}",{'value': -34359.19104999998},{'value': 26.57846453605895},"{'valueSlowK': 4.554888569534851, 'valueSlowD': 12.073407143508511}",{'value': 0.0018746321401641453},"{'valueMACD': -3.2470659873184076, 'valueMACDSignal': -2.0162572418663167, 'valueMACDHist': -1.2308087454520908}",{'value': 124.73628795175698},"{'conversion': 120.81, 'base': 124.5, 'spanA': 121.79499999999999, 'spanB': 123.91499999999999, 'currentSpanA': 128.84500000000003, 'currentSpanB': 126.775, 'laggingSpanA': 123.4075, 'laggingSpanB': 126.215}"
dogecoin,{'value': 0.009140636666666667},{'value': 0.009072059491910183},"{'valueUpperBand': 0.009244819438660436, 'valueMiddleBand': 0.00904518500000001, 'valueLowerBand': 0.008845550561339583}",{'value': 31378425691},{'value': 36.21450399987948},"{'valueSlowK': 23.887835812608518, 'valueSlowD': 46.8496161064403}",{'value': -0.012884604323037951},"{'valueMACD': -7.447875028640007e-05, 'valueMACDSignal': -5.289313610931972e-05, 'valueMACDHist': -2.1585614177080346e-05}",{'value': 0.00913445002080725},"{'conversion': 0.00896655, 'base': 0.009182, 'spanA': 0.009074275, 'spanB': 0.0092328, 'currentSpanA': 0.009353625, 'currentSpanB': 0.00922735, 'laggingSpanA': 0.0090763, 'laggingSpanB': 0.00917325}"
binance-usd,{'value': 0.9993633333333343},{'value': 0.999547052120306},"{'valueUpperBand': 1.0001128385640408, 'valueMiddleBand': 0.9996049999999992, 'valueLowerBand': 0.9990971614359575}",{'value': -149814622.84000084},{'value': 60.314348062715396},"{'valueSlowK': 94.44444444444552, 'valueSlowD': 75.3968253968281}",{'value': -0.0008957980683232947},"{'valueMACD': 0.00011169253113652022, 'valueMACDSignal': 5.870477735910009e-05, 'valueMACDHist': 5.298775377742013e-05}",{'value': 0.999216},"{'conversion': 0.9996, 'base': 0.99915, 'spanA': 0.9995499999999999, 'spanB': 0.99935, 'currentSpanA': 0.99915, 'currentSpanB': 0.9994, 'laggingSpanA': 1.000175, 'laggingSpanB': 1.0000499999999999}"
zcash,{'value': 103.94766666666666},{'value': 102.53015485406239},"{'valueUpperBand': 111.08606402761016, 'valueMiddleBand': 103.19099999999992, 'valueLowerBand': 95.29593597238967}",{'value': 586038.9199900001},{'value': 35.61375001689779},"{'valueSlowK': 40.414452417062904, 'valueSlowD': 48.99687372999776}",{'value': -0.006187661038092873},"{'valueMACD': -1.7858282789942876, 'valueMACDSignal': -1.1675703091492917, 'valueMACDHist': -0.6182579698449959}",{'value': 101.54670723049514},"{'conversion': 100.33500000000001, 'base': 105.07, 'spanA': 101.9775, 'spanB': 104.64500000000001, 'currentSpanA': 104.525, 'currentSpanB': 102.83500000000001, 'laggingSpanA': 102.78, 'laggingSpanB': 106.00999999999999}"
yearn-finance,{'value': 35600.21966666668},{'value': 35252.16620244103},"{'valueUpperBand': 36552.741853813, 'valueMiddleBand': 34817.67750000001, 'valueLowerBand': 33082.613146187025}",{'value': 3884.130197000005},{'value': 36.4490830384103},"{'valueSlowK': 31.034092749158415, 'valueSlowD': 44.265959674649764}",{'value': -0.03193315992627843},"{'valueMACD': -784.1326971220915, 'valueMACDSignal': -692.7881955043024, 'valueMACDHist': -91.34450161778909}",{'value': 35466.66527073753},"{'conversion': 34255.325, 'base': 35596.25, 'spanA': 34770.7475, 'spanB': 36559.525, 'currentSpanA': 38050.677500000005, 'currentSpanB': 36321.42, 'laggingSpanA': 36341.805, 'laggingSpanB': 35321.035}"
filecoin,{'value': 23.010086666666684},{'value': 22.91365555737217},"{'valueUpperBand': 23.420791880095635, 'valueMiddleBand': 22.744795000000003, 'valueLowerBand': 22.068798119904372}",{'value': -2849820.2299999967},{'value': 34.52424965109447},"{'valueSlowK': 28.11031568317497, 'valueSlowD': 38.4296616532157}",{'value': -0.06822249256491775},"{'valueMACD': -0.30011689146834897, 'valueMACDSignal': -0.2909380114597748, 'valueMACDHist': -0.009178880008574142}",{'value': 22.22556084},"{'conversion': 22.6629, 'base': 23.22025, 'spanA': 22.790824999999998, 'spanB': 23.45515, 'currentSpanA': 23.840375, 'currentSpanB': 24.6556, 'laggingSpanA': 24.533575, 'laggingSpanB': 23.8428}"
ftx-token,{'value': 10.712966666666672},{'value': 10.498424286792844},"{'valueUpperBand': 11.230210764926138, 'valueMiddleBand': 10.533150000000008, 'valueLowerBand': 9.836089235073878}",{'value': 877627.396},{'value': 33.84685730522135},"{'valueSlowK': 36.27929803362287, 'valueSlowD': 50.78419909907757}",{'value': 0.1297999172037878},"{'valueMACD': -0.1854484102649412, 'valueMACDSignal': -0.11304786939915348, 'valueMACDHist': -0.0724005408657877}",{'value': 10.4},"{'conversion': 10.3065, 'base': 10.5845, 'spanA': 10.33325, 'spanB': 10.536999999999999, 'currentSpanA': 10.81125, 'currentSpanB': 10.0755, 'laggingSpanA': 9.89775, 'laggingSpanB': 9.6405}"
avalanche,{'value': 12.320156666666673},{'value': 12.218258542503104},"{'valueUpperBand': 12.702957860454852, 'valueMiddleBand': 12.046575000000006, 'valueLowerBand': 11.39019213954516}",{'value': 5465182.169999994},{'value': 42.65348142686631},"{'valueSlowK': 46.156751825806474, 'valueSlowD': 60.13413789740485}",{'value': -0.07551395909489722},"{'valueMACD': -0.20151112801958426, 'valueMACDSignal': -0.2237339575694302, 'valueMACDHist': 0.022222829549845946}",{'value': 13.441295645875208},"{'conversion': 12.0503, 'base': 12.67165, 'spanA': 12.360975, 'spanB': 12.67165, 'currentSpanA': 12.870325000000001, 'currentSpanB': 13.23585, 'laggingSpanA': 13.4242, 'laggingSpanB': 11.937349999999999}"
compound,{'value': 219.53266666666667},{'value': 217.1822648396294},"{'valueUpperBand': 224.72280661839685, 'valueMiddleBand': 215.0445000000001, 'valueLowerBand': 205.36619338160338}",{'value': -15512.514359999985},{'value': 35.25079639530367},"{'valueSlowK': 27.032830347785247, 'valueSlowD': 45.70710607246436}",{'value': -0.00957022567666943},"{'valueMACD': -3.845977723428973, 'valueMACDSignal': -3.2252577232974486, 'valueMACDHist': -0.6207200001315245}",{'value': 218.35},"{'conversion': 211.675, 'base': 219.95, 'spanA': 215.3125, 'spanB': 221.495, 'currentSpanA': 229.955, 'currentSpanB': 219.57999999999998, 'laggingSpanA': 216.4375, 'laggingSpanB': 214.695}"
solana,{'value': 3.7259900000000017},{'value': 3.686306298061084},"{'valueUpperBand': 3.8395289736654497, 'valueMiddleBand': 3.656195000000001, 'valueLowerBand': 3.4728610263345527}",{'value': 7048667.210000008},{'value': 34.23842669736305},"{'valueSlowK': 26.753432586093698, 'valueSlowD': 38.89583604900885}",{'value': -0.008367402436459948},"{'valueMACD': -0.07165659193086116, 'valueMACDSignal': -0.061045322504181286, 'valueMACDHist': -0.010611269426679872}",{'value': 3.6577988890283644},"{'conversion': 3.6243, 'base': 3.7346500000000002, 'spanA': 3.652725, 'spanB': 3.82665, 'currentSpanA': 3.929825, 'currentSpanB': 3.7393, 'laggingSpanA': 3.744025, 'laggingSpanB': 3.6511500000000003}"
ethereum-classic,{'value': 8.006463333333333},{'value': 7.89912813261584},"{'valueUpperBand': 8.255577566786863, 'valueMiddleBand': 7.9273450000000025, 'valueLowerBand': 7.599112433213143}",{'value': 2136396.3199999966},{'value': 40.18464487532156},"{'valueSlowK': 37.41075448794928, 'valueSlowD': 49.13948293715965}",{'value': 0.06967724340001258},"{'valueMACD': -0.06102109992312599, 'valueMACDSignal': -0.02348244055453136, 'valueMACDHist': -0.03753865936859463}",{'value': 7.9486},"{'conversion': 7.81715, 'base': 8.0593, 'spanA': 7.8994, 'spanB': 7.99975, 'currentSpanA': 7.900475, 'currentSpanB': 7.7835, 'laggingSpanA': 7.587, 'laggingSpanB': 7.7596}"
kusama,{'value': 102.98530000000005},{'value': 102.09287663435394},"{'valueUpperBand': 108.16498262795673, 'valueMiddleBand': 101.11595000000004, 'valueLowerBand': 94.06691737204335}",{'value': 269895.8910000002},{'value': 38.612921725330786},"{'valueSlowK': 23.046274370951778, 'valueSlowD': 42.29455430549452}",{'value': -0.01396313834653995},"{'valueMACD': -2.566028895498391, 'valueMACDSignal': -2.108919546992158, 'valueMACDHist': -0.4571093485062332}",{'value': 103.33},"{'conversion': 99.106, 'base': 102.72800000000001, 'spanA': 100.27324999999999, 'spanB': 107.401, 'currentSpanA': 109.24175, 'currentSpanB': 105.9465, 'laggingSpanA': 108.70525, 'laggingSpanB': 101.43}"
sushiswap,{'value': 6.860133333333333},{'value': 6.76069913742974},"{'valueUpperBand': 7.134821724450559, 'valueMiddleBand': 6.648550000000004, 'valueLowerBand': 6.162278275549449}",{'value': 18740933.672999974},{'value': 35.979407371815604},"{'valueSlowK': 26.66186692692952, 'valueSlowD': 34.63342377062431}",{'value': -0.08823335105205832},"{'valueMACD': -0.20622378331263835, 'valueMACDSignal': -0.18416185787929013, 'valueMACDHist': -0.02206192543334823}",{'value': 6.645},"{'conversion': 6.536, 'base': 6.835, 'spanA': 6.5954999999999995, 'spanB': 6.927, 'currentSpanA': 7.391500000000001, 'currentSpanB': 7.2655, 'laggingSpanA': 7.0995, 'laggingSpanB': 6.959}"
zilliqa,{'value': 0.07525866666666663},{'value': 0.07454701604319178},"{'valueUpperBand': 0.07755821267147404, 'valueMiddleBand': 0.07408150000000004, 'valueLowerBand': 0.07060478732852603}",{'value': 410588716.59999985},{'value': 37.689890741411226},"{'valueSlowK': 39.452199786929405, 'valueSlowD': 55.7138495824202}",{'value': 0.017487252806125397},"{'valueMACD': -0.0011474848403682653, 'valueMACDSignal': -0.000920392622452223, 'valueMACDHist': -0.00022709221791604223}",{'value': 0.07555},"{'conversion': 0.07308500000000001, 'base': 0.07491, 'spanA': 0.0735725, 'spanB': 0.07553499999999999, 'currentSpanA': 0.0771975, 'currentSpanB': 0.07546, 'laggingSpanA': 0.07294, 'laggingSpanB': 0.072725}"
